,Headlines,Summary,Time,ner_text,GPE,LOC,PERSON,ORG,DATE,Type of Crime
10,10 injured in grenade attack,"QUETTA, Jan 1: At least 10 people were injured in a grenade attack on a shop on Joint Road here on Sunday. 
    ",2012-01-02,"[QUETTA, Jan 1, At least 10, Joint Road, Sunday]",['QUETTA'],[],[],[],"['Jan 1', 'Sunday']",[]
11,Would-be suicide bomber killed,"GUJRAT, Jan 3: A would-be suicide bomber and another terrorist were killed on Tuesday when explosives in the jacket of the bomber exploded near Gorali village, some four kilometres from Gujrat city 
    ",2012-01-03,"[GUJRAT, Jan 3, Tuesday, Gorali, some four kilometres, Gujrat]","['Gorali', 'Gujrat']",[],[],['GUJRAT'],"['Jan 3', 'Tuesday']",['Terrorism']
12,Iranian guards charged with murder,"QUETTA, Jan 3: Police on Tuesday charged three Iranian border guards with the murder of a Pakistani man shot dead on Sunday in a cross-border attack in the country`s southwest 
    ",2012-01-03,"[QUETTA, Jan 3, Tuesday, three, Iranian, Pakistani, Sunday]",['QUETTA'],[],[],[],"['Jan 3', 'Tuesday', 'Sunday']",['Murder']
13,Three killed in Khyber car blast,"LANDI KOTAL, Jan 3: Three persons including two Levies personnel were killed and eight civilians were injured when a powerful car bomb exploded in Landi Kotal Bazaar of Khyber Agency on Tuesday 
    ",2012-01-03,"[LANDI KOTAL, Jan 3, Three, two, eight, Landi Kotal Bazaar, Khyber Agency, Tuesday]",[],[],['LANDI KOTAL'],"['Landi Kotal Bazaar', 'Khyber Agency']","['Jan 3', 'Tuesday']",['Terrorism']
14,Local JUI-F leader shot dead in Lakki,"LAKKI MARWAT, Jan 2: A local JUI-F leader and former nazim Haji Mohammad Azeem Khan was killed and his driver was seriously wounded when unidentified gunmen attacked his pickup near Naverkhel on Begukhel 
    ",2012-01-03,"[LAKKI MARWAT, Jan 2, JUI-F, Haji Mohammad Azeem Khan, Naverkhel, Begukhel]",[],[],"['LAKKI MARWAT', 'Haji Mohammad Azeem Khan']","['JUI-F', 'Naverkhel', 'Begukhel']",['Jan 2'],"['Murder', 'Assault']"
15,Two labourers killed,"MINGORA, Jan 2: Two labourers were killed as an under-construction building collapsed here on Monday 
    ",2012-01-03,"[MINGORA, Jan 2, Two, Monday]",[],[],[],['MINGORA'],"['Jan 2', 'Monday']",['Murder']
16,Man killed in road accident,"TAXILA, Jan 4: A motorcyclist was killed and two others injured in two road incidents in the limits of Hassanabdal and Taxila police stations on Wednesday 
    ",2012-01-04,"[TAXILA, Jan 4, two, two, Hassanabdal, Taxila, Wednesday]","['Hassanabdal', 'Taxila']",[],[],['TAXILA'],"['Jan 4', 'Wednesday']",['Murder']
17,Islamabad saw four terror attacks last year,"ISLAMABAD, Jan 4: Capital city saw four terrorist attacks in 2011 in which four persons were killed, including two high profile, and the same number of people injured, according to Security Report 2011 of 
    ",2012-01-04,"[ISLAMABAD, Jan 4, four, 2011, four, two, Security Report 2011]",['ISLAMABAD'],[],[],['Security Report 2011'],"['Jan 4', '2011']","['Murder', 'Terrorism']"
18,Police officer gunned down in Quetta,"QUETTA, Jan 5: A police officer was shot dead while a man was killed and two others were injured in a landmine blast in two separate incidents in Balochistan on Thursday 
    ",2012-01-05,"[QUETTA, Jan 5, two, two, Balochistan, Thursday]","['QUETTA', 'Balochistan']",[],[],[],"['Jan 5', 'Thursday']",['Murder']
19,Couple held on charge of killing servant,"ISLAMABAD, Jan 5: An eleven-year-old boy working as a domestic servant was found dead in the house of his employers under mysterious circumstances here on Thursday, police said 
    ",2012-01-05,"[ISLAMABAD, Jan 5, eleven-year-old, Thursday]",['ISLAMABAD'],[],[],[],"['Jan 5', 'eleven-year-old', 'Thursday']",['Murder']
20,Three shot dead in family feud,"RAWALPINDI, Jan 5: Three persons, including a father and his son, were shot dead in a family feud outside their home near Punjab House here on Thursday, police said 
    ",2012-01-05,"[RAWALPINDI, Jan 5, Three, Punjab House, Thursday]",[],[],[],[],"['Jan 5', 'Thursday']",['Murder']
21,Fata admin asked to curb abductions,"PESHAWAR, Jan 5: Khyber Pakhtunkhwa Governor Barrister Masood Kausar has directed political agents of all tribal agencies to effectively control kidnapping incidents to improve investment environment in Federally Administered Tribal Areas 
    ",2012-01-05,"[PESHAWAR, Jan 5, Khyber Pakhtunkhwa, Masood Kausar]",['PESHAWAR'],[],"['Khyber Pakhtunkhwa', 'Masood Kausar']",[],['Jan 5'],['Kidnapping']
22,Former peace body head killed in Tank,"TANK, Jan 5: The former commander of a local peace committee was killed allegedly by Taliban militants on late Wednesday night, police said 
    ",2012-01-05,"[Jan 5, Taliban, late Wednesday night]",[],[],[],['Taliban'],['Jan 5'],['Terrorism']
23,DSP gunned down in Gilgit,"GILGIT, Jan 4: Unknown attackers gunned down deputy superintendent of police (investigation) Mohammad Ibrahim here on Wednesday. DSP Mohammad Ibrahim, who was brought here with bullet 
    ",2012-01-05,"[GILGIT, Jan 4, Mohammad Ibrahim, Wednesday, DSP Mohammad Ibrahim]",['GILGIT'],[],"['Mohammad Ibrahim', '\x93DSP Mohammad Ibrahim']",[],"['Jan 4', 'Wednesday']",['Assault']
24,Bara clash leaves seven dead,"LANDI KOTAL, Jan 4: Renewed clashes between a banned militant organisation and a tribal lashkar left seven persons dead and one injured in Bazaar-Zakhakhel area of Khyber Agency on Wednesday 
    ",2012-01-05,"[LANDI KOTAL, Jan 4, lashkar, seven, one, Bazaar-Zakhakhel, Khyber Agency, Wednesday]",[],['Bazaar-Zakhakhel'],['LANDI KOTAL'],"['lashkar', 'Khyber Agency']","['Jan 4', 'Wednesday']",['Murder']
25,"Five militants killed in clash, claims FC","QUETTA, Jan 4: Five suspected militants, three foreigners among them, were killed and two security personnel injured in an encounter in Murgha-Kibzai area of Zhob district along the Afghan border on Wednesday 
    ",2012-01-05,"[QUETTA, Jan 4, Five, three, two, Murgha-Kibzai, Zhob, Afghan, Wednesday]","['QUETTA', 'Zhob']",[],[],['Murgha-Kibzai'],"['Jan 4', 'Wednesday']","['Murder', 'Terrorism']"
26,Man dies in blast,"QUETTA, Jan 6: A man was killed and another man injured when a landmine exploded in Jani Bairi area of Dera Bugti district on Friday 
    ",2012-01-06,"[QUETTA, Jan 6, Jani Bairi, Dera Bugti, Friday]","['QUETTA', 'Dera Bugti']",[],['Jani Bairi'],[],"['Jan 6', 'Friday']",['Terrorism']
27,ATC prosecutors Police cold-shoulder security request,"RAWALPINDI, Jan 6: A tussle between Rawalpindi police and the Punjab prosecution department over provision of security to prosecutors of anti-terrorism courts has put the fate of high-profile terrorism cases 
    ",2012-01-06,"[RAWALPINDI, Jan 6, Rawalpindi, Punjab]",['Rawalpindi'],[],[],['RAWALPINDI'],['Jan 6'],"['Terrorism', 'Fraud']"
28,"Five killed, 12 injured on road","ATTOCK, Jan 6: Five persons were killed and 12 others received serious injuries in a road accident here on GT road Friday evening 
    ",2012-01-06,"[ATTOCK, Jan 6, Five, 12, Friday, evening]",[],[],[],['ATTOCK'],"['Jan 6', 'Friday']",['Murder']
29,17 children return from Afghanistan,"KHAR, Jan 5: Seventeen children have escaped from militants captivity in Kunar province of Afghanistan and reached their homes in Mamond tehsil of Bajaur tribal region on Thursday. 
    ",2012-01-06,"[Jan 5, Seventeen, Kunar, Afghanistan, Mamond, Bajaur, Thursday]","['Kunar', 'Afghanistan', 'Mamond', 'Bajaur']",[],[],[],"['Jan 5', 'Thursday']",['Kidnapping']
30,Five drug smugglers held,"TAXILA, Jan 7: Five smugglers, including a woman, have been arrested and huge quantity of narcotics seized from them. 
    ",2012-01-07,"[TAXILA, Jan 7, Five]",[],[],[],['TAXILA'],['Jan 7'],['Drug']
31,Passenger van ambushed in GB,"GILGIT, Jan 7: Unknown attackers opened fire on a passenger van at Nagaral on Saturday, killing one person. The victim was identified as Abdul Wakil, resident of Chilas. 
    ",2012-01-07,"[GILGIT, Jan 7, Nagaral, Saturday, one, Abdul Wakil, Chilas]","['GILGIT', 'Nagaral']",[],"['Abdul Wakil', 'Chilas']",[],"['Jan 7', 'Saturday']",['Assault']
32,School blown up in Waziristan,"MIRAMSHAH, Jan 7: Militants bombed a school on Friday night and fired rockets at the base of paramilitary forces in North Waziristan Agency, official sources said 
    ",2012-01-07,"[MIRAMSHAH, Jan 7, Friday, night, North Waziristan Agency]",[],[],[],"['MIRAMSHAH', 'North Waziristan Agency']","['Jan 7', 'Friday']",['Terrorism']
33,LDA demolishes eight buildings,"LAHORE, Jan 7: Lahore Development Authoritys Anti-Encroachment Cell demolished on Saturday eight buildings besides sealing another one for being constructed illegally in Johar Town and Allama Iqbal Town. 
    ",2012-01-07,"[LAHORE, Jan 7, Lahore, Saturday, eight, Johar Town, Allama Iqbal Town]","['LAHORE', 'Lahore', 'Johar Town']",[],['Allama Iqbal Town'],[],"['Jan 7', 'Saturday']",['Fraud']
34,Steps being taken to curb smuggling of fertiliser,"ISLAMABAD, Jan 6: A plan prepared by the interior ministry to stop smuggling of ammonium nitrate, a fertiliser, to Afghanistan and impose restrictions on its sale within the country has created hopes for 
    ",2012-01-07,"[ISLAMABAD, Jan 6, the interior ministry, Afghanistan]","['ISLAMABAD', 'Afghanistan']",[],[],['the interior ministry'],['Jan 6'],"['Drug', 'Fraud']"
35,Six militants killed in Landi Kotal clash,"LANDI KOTAL, Jan 6: At least six militants were killed and 12 injured on Friday after Lashkar-i-Islam and its rival Zakhakhel tribal force exchanged gunfire to gain control of a key base in Bazaar Zakhakhel area of 
    ",2012-01-07,"[LANDI KOTAL, Jan 6, At least six, 12, Friday, Lashkar-i-Islam, Zakhakhel, Bazaar Zakhakhel]",[],['Bazaar Zakhakhel'],"['LANDI KOTAL', 'Zakhakhel']",['Lashkar-i-Islam'],"['Jan 6', 'Friday']","['Murder', 'Terrorism']"
36,Protesters block KKH to condemn killing,"GILGIT, Jan 8: A large number of people took to streets in Chilas, headquarters of Diamer district, and chanted slogans against the government for failing to arrest killers of Abdul Wakil, who was killed when unidentified men ambushed a passenger van in G 
    ",2012-01-08,"[GILGIT, Jan 8, Chilas, Diamer, Abdul Wakil]","['GILGIT', 'Chilas', 'Diamer']",[],['Abdul Wakil'],[],['Jan 8'],['Murder']
37,Three of a family perish on road,"KASUR, Jan 7: Three members of a family were killed when a truck sent their two-wheeler hurtling down an overhead bridge at Pattoki on Saturday. 
    ",2012-01-08,"[KASUR, Jan 7, Three, two, Pattoki, Saturday]",['Pattoki'],[],[],['KASUR'],"['Jan 7', 'Saturday']",['Murder']
38,Three killed in road accident,"ISLAMABAD, Jan 9: Three persons were killed in a road accident on Monday after two loaded vehicles collided headon on Islamabad Highway near T-Cross, Rawat, police said. 
    ",2012-01-09,"[ISLAMABAD, Jan 9, Three, Monday, two, headon on, Islamabad Highway, Rawat]","['ISLAMABAD', 'Rawat']",[],[],[],"['Jan 9', 'Monday']",['Murder']
39,Tribesman gunned down in Dera,"DERA ISMAIL KHAN, Jan 9: Unknown motorcyclists gunned down a Mehsud tribesman in Zafarabad area in the limits of Dera Township police station on Monday, police said. 
    ",2012-01-09,"[DERA ISMAIL KHAN, Jan 9, Mehsud, Zafarabad, Dera Township, Monday]","['Zafarabad', 'Dera Township']",[],['DERA ISMAIL KHAN'],[],"['Jan 9', 'Monday']",['Murder']
40,Two hurt in Jamrud clash; container blown up,"LANDI KOTAL, Jan 9: Two persons were injured when rival groups exchanged fire after a protest demonstration against power loadshedding in Malagori area of Jamrud on Monday. 
    ",2012-01-09,"[LANDI KOTAL, Jan 9, Two, Malagori, Jamrud, Monday]","['Malagori', 'Jamrud']",[],['LANDI KOTAL'],[],"['Jan 9', 'Monday']",['Assault']
41,Akkakhel peace body chief shot dead in Bara,"LANDI KOTAI) GHALANAI, Jan 10: Two persons were killed and 11 injured in separate incidents in Khyber tribal region on Tuesday. 
    ",2012-01-10,"[LANDI KOTAI, GHALANAI, Jan 10, Two, 11, Khyber, Tuesday]","['GHALANAI', 'Khyber']",[],['LANDI KOTAI'],[],"['Jan 10', 'Tuesday']","['Murder', 'Assault']"
42,3 foreigners among four killed as US resumes drone strikes,"MIRAMSHAH, Jan 11: After a lull of about two months a CIA-operated drone carried out a missile attack in North Waziristan late on Tuesday night, killing four suspected militants. 
    ",2012-01-11,"[MIRAMSHAH, Jan 11, about two months, CIA, North Waziristan, Tuesday, night, four]",['North Waziristan'],[],[],"['MIRAMSHAH', 'CIA']","['Jan 11', 'about two months', 'Tuesday']",['Terrorism']
43,11 killed in Orakzai,"KALAYA, Jan 11: At least 11 militants were killed and six others injured when jet fighters pounded their hideouts in Upper Orakzai tribal region on Wednesday, officials said. 
    ",2012-01-11,"[KALAYA, Jan 11, At least 11, six, Upper Orakzai, Wednesday]",['Upper Orakzai'],[],[],['KALAYA'],"['Jan 11', 'Wednesday']","['Murder', 'Assault']"
44,Key Taliban commander killed in Tirah,"LANDI KOTAL, Jan 11: An important commander of Tehrik-i-Taliban Pakistan was shot dead by unidentified gunmen in Tirah valley of Khyber Agency on Wednesday, sources said. 
    ",2012-01-11,"[LANDI KOTAL, Jan 11, Tehrik-i-Taliban, Pakistan, Tirah, Khyber Agency, Wednesday]","['Pakistan', 'Tirah']",[],['LANDI KOTAL'],['Khyber Agency'],"['Jan 11', 'Wednesday']",['Murder']
45,FC man injured in Tank attack,"DERA ISMAIL KHAN, Jan 13: A paramilitary soldier was wounded in exchange of fire with militants in Tank on Thursday night. 
    ",2012-01-13,"[DERA ISMAIL KHAN, Jan 13, Tank, Thursday, night]",[],[],['DERA ISMAIL KHAN'],['Tank'],"['Jan 13', 'Thursday']",['Terrorism']
46,Militants involved in Peshawar police post attack arrested,"PESHAWAR, Jan 14: Four militants, involved in attack on Riaz Shaheed police post in Surband on Thursday night, were arrested during a search operation in the area, sources said. 
    ",2012-01-14,"[PESHAWAR, Jan 14, Four, Riaz Shaheed, Surband, Thursday, night]",['PESHAWAR'],[],['Riaz Shaheed'],['Surband'],"['Jan 14', 'Thursday']",['Terrorism']
47,Security man injured in Landi Kotal blast,"LANDI KOTAI1CHARSADDA, Jan 14: A personnel of Khyber Rifles was injured when a food supply convoy was targeted with a roadside bomb in Landi Kotal tehsil of Khyber Agency on Saturday. 
    ",2012-01-14,"[LANDI, Jan 14, Khyber Rifles, Landi Kotal, Khyber Agency, Saturday]",[],[],"['Khyber Rifles', 'Landi Kotal']","['LANDI', 'Khyber Agency']","['Jan 14', 'Saturday']",['Terrorism']
48,Man shot dead by brother in Kohat,"KOHAT, Jan 14: A man shot dead his brother and injured a cousin over a property dispute in Muslimabad area on Saturday. 
    ",2012-01-14,"[KOHAT, Jan 14, Muslimabad, Saturday]",['Muslimabad'],[],[],['KOHAT'],"['Jan 14', 'Saturday']",['Murder']
49,Five killed on road,"GUJRANWALA, Jan 14: Five people were killed and as many others injured in a collision between a car and van on Wazirabad-Sialkot Road late on Friday night. 
    ",2012-01-14,"[GUJRANWALA, Jan 14, Five, Wazirabad-Sialkot Road, Friday night]",[],['Wazirabad-Sialkot Road'],[],['GUJRANWALA'],['Jan 14'],"['Murder', 'Assault']"
50,Killers entered Pims through boundary wall,"ISLAMABAD, Jan 15: Even 24 hours after two women were shot dead and another was injured at the Pakistan Institute of Medical Sciences (Pims), police could not nominate the suspects and lodged an FIR (first 
    ",2012-01-15,"[ISLAMABAD, Jan 15, 24 hours, two, the Pakistan Institute of Medical Sciences, Pims, first]",['ISLAMABAD'],[],[],"['the Pakistan Institute of Medical Sciences', 'Pims']",['Jan 15'],"['Murder', 'Assault']"
51,Six die as coach veers off road in Swat,"MINGORA, Jan 16: Six persons, including three children and a woman, were killed and 25 others received injuries when a passenger coach fell into a ravine in Kabal tehsil of Swat district on Monday. 
    ",2012-01-16,"[MINGORA, Jan 16, Six, three, 25, Kabal, Swat, Monday]","['Kabal', 'Swat']",[],[],['MINGORA'],"['Jan 16', 'Monday']","['Murder', 'Assault']"
52,Two die in bike-police van crash,"RAWALPINDI, Jan 17: Two motorbike riders were killed while another was injured critically in an accident involving a double-cabin police van at Mareer Chowk in the early hours of Tuesday, police said. 
    ",2012-01-17,"[RAWALPINDI, Jan 17, Two, Mareer Chowk, the early hours of Tuesday]",[],[],['Mareer Chowk'],[],['Jan 17'],"['Murder', 'Assault']"
53,Volunteers kill three militants in Bara,"LANDI KOTAL, Jan 18: At least three militants were killed when they clashed with volunteers of a peace committee in Bara tehsil of Khyber Agency on Wednesday. 
    ",2012-01-18,"[LANDI KOTAL, Jan 18, At least three, Bara, Khyber Agency, Wednesday]",['Bara'],[],['LANDI KOTAL'],['Khyber Agency'],"['Jan 18', 'Wednesday']",['Murder']
54,Journalists protest murder of colleague,"CHARSADDA, Jan 18: Journalists in different districts of Khyber Pakhtunkhwa and tribal areas held protest demonstrations against killing of their colleague Mukarram Khan Atif, who was shot dead by unidentified 
    ",2012-01-18,"[CHARSADDA, Jan 18, Khyber Pakhtunkhwa, Mukarram Khan Atif]",[],[],['Mukarram Khan Atif'],"['CHARSADDA', 'Khyber Pakhtunkhwa']",['Jan 18'],['Murder']
55,Man confesses to Islamabad hospital killings,"NOWSHERA, Jan 18: An alleged drug smuggler from Rawalpindi on Wednesday confessed to local police that he had killed afederalsecretary`s mother and sister at Islamabad`s Pakistan Institute of Medical Sciences (Pims) last Saturday. 
    ",2012-01-18,"[NOWSHERA,, Jan 18, Rawalpindi, Wednesday, Islamabad`s Pakistan Institute of Medical Sciences, Pims, last Saturday]",['Rawalpindi'],[],[],"['NOWSHERA,', 'Islamabad`s Pakistan Institute of Medical Sciences', 'Pims']","['Jan 18', 'Wednesday', 'last Saturday']","['Murder', 'Drug']"
56,Gangs of fraudsters busted,"ISLAMABAD, Jan 20: Two women were arrested from the limits of Bhara Kahu police station as they were trying to sell fake gold. Whereas, two fraudsters who were involved 
    ",2012-01-20,"[ISLAMABAD, Jan 20, Two, Bhara Kahu, two]",['ISLAMABAD'],[],[],['Bhara Kahu'],['Jan 20'],['Fraud']
57,Auto-mechanic killed by friends,"RAWALPINDI, Jan 20: An auto-mechanic was killed by two friends in Saddar Brooni police area on Friday, police said. 
    ",2012-01-20,"[RAWALPINDI, Jan 20, two, Saddar Brooni, Friday]",['Saddar Brooni'],[],[],['RAWALPINDI'],"['Jan 20', 'Friday']",['Murder']
58,"Four militants, two security men killed in Khyber incidents","LANDI KOTAL/PESHAWAR, Jan 20: Four militants and two security men were killed in different incidents in Khyber Agency while an elder of Mohmand tribal region was shot dead in Peshawar on Friday. 
    ",2012-01-20,"[LANDI KOTAL/PESHAWAR, Jan 20, Four, two, Khyber Agency, Mohmand, Peshawar, Friday]",['Peshawar'],[],['Mohmand'],"['LANDI KOTAL/PESHAWAR', 'Khyber Agency']","['Jan 20', 'Friday']",['Murder']
59,Dispute claims life,"TIMERGARA, Jan 20: A man was killed while his three nephews were injured when their rivals attacked them with daggers and sticks at Talash on Friday, residents and police told Dawn. 
    ",2012-01-20,"[Jan 20, three, Talash, Friday, Dawn]",[],[],"['Talash', 'Dawn']",[],"['Jan 20', 'Friday']","['Murder', 'Assault']"
60,Two held on suspicion,"ISLAMABAD, Jan 21: Security forces detained two persons after spotting them wondering around the army aviation helipad at Shakarparian on Saturday night. 
    ",2012-01-21,"[ISLAMABAD, Jan 21, two, Shakarparian, Saturday night]",['ISLAMABAD'],[],[],[],['Jan 21'],[]
61,Thousands flee Khyber in terror,"NOWSHERA, Jan 21: Around 390 families from Khyber Agency took refuge in Jalozai`s internally displaced persons` camp on Saturday as an intensified crackdown on militants has triggered displacements from 
    ",2012-01-21,"[NOWSHERA,, Jan 21, Around 390, Khyber Agency, Saturday]",[],[],[],"['NOWSHERA,', 'Khyber Agency']","['Jan 21', 'Saturday']",[]
62,4 security men hurt in Mohmand blast,"GHALANAI, Jan 21: Four security men received injuries when their vehicle was targeted with a remote controlled bomb near Mian Mandi Bazaar in Haleemzai tehsil of Mohmand Agency on Saturday. 
    ",2012-01-21,"[GHALANAI, Jan 21, Four, Mian Mandi Bazaar, Haleemzai tehsil, Mohmand Agency, Saturday]",[],['Haleemzai tehsil'],[],"['GHALANAI', 'Mian Mandi Bazaar', 'Mohmand Agency']","['Jan 21', 'Saturday']",['Terrorism']
63,Committee to probe foreigners` kidnapping,"MULTAN, Jan 21: Punjab police on Saturday constituted a five-member committee to investigate the case of two workers of a German non-profit organisation who had been kidnapped from their residence in Multan on Thursday. 
    ",2012-01-21,"[MULTAN, Jan 21, Punjab, Saturday, five, two, German, Multan, Thursday]",['Multan'],[],[],['MULTAN'],"['Jan 21', 'Saturday', 'Thursday']",['Kidnapping']
64,Two of a family killed on road,"SHEIKHUPURA, Jan 21: Two family members were killed while as many others were injured in a head-on collision between a car and a jeep on Muridke Road on Saturday. 
    ",2012-01-21,"[SHEIKHUPURA, Jan 21, Two, Muridke Road, Saturday]",[],[],[],['SHEIKHUPURA'],"['Jan 21', 'Saturday']","['Murder', 'Assault']"
65,Two students run over by minivan,"KASUR, Jan 21: Protesters set fire to a minivan after it crushed two students to death on Depalpur Road near Khudian on Saturday. 
    ",2012-01-21,"[KASUR, Jan 21, two, Depalpur Road, Khudian, Saturday]",['Khudian'],[],[],['KASUR'],"['Jan 21', 'Saturday']","['Murder', 'Assault']"
66,Collision leaves three dead,"CHAKWAL, Jan 22: Three persons were killed and 16 other received serious injuries as a trailer hit Faisalabad-bound passenger bus in the Salt Range area of Kallar Kahar on Sunday. 
    ",2012-01-22,"[CHAKWAL, Jan 22, Three, 16, Faisalabad, Salt Range, Kallar, Sunday]","['Faisalabad', 'Kallar']",['Salt Range'],[],['CHAKWAL'],"['Jan 22', 'Sunday']",['Murder']
67,Fear of militants haunts Khyber IDPs,"PESHAWAR, Jan 22: Shahzad Khan, a Shaluber tribesman from Khyber Agency, was trained to fight and kill as a paramilitary trooper, but he left Frontier Corps feeling threatened by throat slitting squad of Lashkar-i-Islam (LI). 
    ",2012-01-22,"[PESHAWAR, Jan 22, Shahzad Khan, Shaluber, Khyber Agency, Frontier Corps, Lashkar]","['PESHAWAR', 'Shaluber']",[],['Shahzad Khan'],"['Khyber Agency', 'Frontier Corps', 'Lashkar']",['Jan 22'],[]
68,Militants killed by own bomb,"LANDI KOTAL/BANNU, Jan 22: Two militants were killed in a bomb blast in Zakakhel Banjwal area of Khyber Agency on Sunday, sources said. 
    ",2012-01-22,"[LANDI KOTAL/BANNU, Jan 22, Two, Zakakhel Banjwal, Khyber Agency, Sunday]",['Zakakhel Banjwal'],[],['LANDI KOTAL/BANNU'],['Khyber Agency'],"['Jan 22', 'Sunday']","['Murder', 'Terrorism']"
69,Five killed in Jamrud shootout,"LANDI KOTAL, Jan 23: At least three kidnappers and two security men were killed in a daylong shootout in Jamrud tehsil of Khyber Agency on Monday. 
    ",2012-01-23,"[LANDI KOTAL, Jan 23, At least three, two, Jamrud, Khyber Agency, Monday]",['Jamrud'],[],['LANDI KOTAL'],['Khyber Agency'],"['Jan 23', 'Monday']","['Murder', 'Terrorism']"
70,Stone driller killed,"TAXILA, Jan 24: A man was killed when he was hit by heavy rocks while drilling at stone crushing site in Pathargarh area in the limits of Hassanabdal police station on Tuesday. 
    ",2012-01-24,"[TAXILA, Jan 24, Pathargarh, Hassanabdal, Tuesday]","['Pathargarh', 'Hassanabdal']",[],[],['TAXILA'],"['Jan 24', 'Tuesday']",['Murder']
71,Bomb in school debris kills khasadar in Khyber,"LANDI KOTAL, Jan 24: A security man was killed and two persons were injured when a bomb, buried under the debris of a destroyed school, went off in Landi Kotal tehsil of Khyber Agency on Tuesday. 
    ",2012-01-24,"[LANDI KOTAL, Jan 24, two, Landi Kotal, Khyber Agency, Tuesday]",[],[],"['LANDI KOTAL', 'Landi Kotal']",['Khyber Agency'],"['Jan 24', 'Tuesday']",['Terrorism']
72,Avalanche claims five lives in Kohistan,"MANSEHRA, Jan 24: Five persons were killed and two others received injuries when an avalanche fell on a house in Dobair area of Kohistan on Tuesday, police said. 
    ",2012-01-24,"[MANSEHRA, Jan 24, Five, two, Dobair, Kohistan, Tuesday]","['Dobair', 'Kohistan']",[],[],['MANSEHRA'],"['Jan 24', 'Tuesday']",['Murder']
