Headlines,Summary,Time,label
Another day of protest in Islamabad,"ISLAMABAD, Jan 3: The capital city witnessed another day of protests and skirmishes between police and angry mobs as CNG station owners and transporters continued their strike against increase in prices for the second 
    ",03/01/2012,__label__2 
CDA to produce own electricity,"ISLAMABAD, Jan 3: The city managers on Tuesday claimed that they would produce their own electricity to overcome power shortage and save over Rs1 billion every year 
    ",03/01/2012,__label__2 
Carelessness robs teachers of promotion,"ISLAMABAD, Jan 3: The education wing of the Capital Administration and Development Division (CADD) ignored a Supreme Court order when it recommended 51 government school teachers to Establishment Division 
    ",03/01/2012,__label__2 
`Skill manpower vital for poverty reduction`,"ISLAMABAD, Jan 3: Unemployment, poverty and inequality have been the main reasons of social evils necessitating development of skilled manpower to overcome these problems 
    ",03/01/2012,__label__2 
All set to observe self-determination day tomorrow,"MUZAFFARABAD, Jan 3: The AJK government has finalised arrangements to observe ‘Right to Self-Determination Day’ on Thursday to remind the international community about decades-old unfulfilled commitment to the Kashmiris 
    ",03/01/2012,__label__2 
Study planned on delay in delivering justice in Malakand,"PESHAWAR, Jan 3: The Khyber Pakhtunkhwa government has begun work on a study to know the factors blocking dispensation of justice to the people of Malakand division before addressing them, Dawn learnt on Tuesday 
    ",03/01/2012,__label__2 
Transporters raise fares unilaterally in Peshawar,"PESHAWAR, Jan 3: Taking advantage of closure of CNG stations, the public transport operators in provincial metropolis unilaterally increased fares from 20 to 30 per cent on different routes on Tuesday 
    ",03/01/2012,__label__2 
Elders want tribesmen to decide Fata future,"LANDI KOTAL, Jan 3: The tribal elders of Khyber Agency have reacted sharply to the Awami National Party`s demand about merger of Federally Administered Tribal Areas with Khyber Pakhtunkhwa province 
    ",03/01/2012,__label__2 
Three killed in Khyber car blast,"LANDI KOTAL, Jan 3: Three persons including two Levies personnel were killed and eight civilians were injured when a powerful car bomb exploded in Landi Kotal Bazaar of Khyber Agency on Tuesday 
    ",03/01/2012,__label__1 
Rickshaw drivers continue protest,"PESHAWAR, Jan 3: Rickshaw drivers continued with wheel-jam strike in the provincial capital against the new traffic plan for the second consecutive day on Tuesday and staged a sit-in on the main road near Faqirabad bridge 
    ",03/01/2012,__label__2 
Development goals not achievable by 2015,"PESHAWAR, Jan 3: Khyber Pakhtunkhwa is unlikely to achieve the millennium development goals (MDGs) by the 2015 deadline in light of the current socioeconomic conditions and natural and manmade disasters 
    ",03/01/2012,__label__2 
Fatal turn on KKH,"KARAK, Jan 3: Karak Qaumi Tehrik staged a hunger strike here on Tuesday against the increasing ratio of accidents on Indus Highway due to bad shape of the road and demanded that the road be redesigned 
    ",03/01/2012,__label__2 
"Strike disrupts life in Pindi, Islamabad","ISLAMABAD, Jan 2: A strike by CNG station owners ignited violent protests by stranded commuters and paralysed life in and around Islamabad on Monday, the first working day of the new year. 
    ",03/01/2012,__label__2 
MQM submits bill in NA for new provinces,"ISLAMABAD, Jan 2: The Muttahida Qaumi Movement submitted on Monday to the National Assembly secretariat a constitution amendment bill seeking creation of new provinces in Punjab and Khyber Pakhtunkhwa 
    ",03/01/2012,__label__2 
Zardari calls for master plan to cope with floods,"KARACHI, Jan 2: President Asif Ali Zardari has called for a comprehensive 20-year master plan aimed at restoring, remodeling and enhancing the capacity of the drainage system for coping with floods and 
    ",03/01/2012,__label__2 
Khanpur Dam project RCB seeks additional Rs200m from govt,"RAWALPINDI, Jan 2: Rawalpindi Cantonment Board (RCB) has sought an additional Rs200 million from federal government to complete Khanpur Dam Water Supply Project (KDWSP) by end of June 2012, fearing 
    ",03/01/2012,__label__2 
Thousands forced to walk,"ISLAMABAD, Jan 2: The strike by public transporters and CNG station owners on Monday left thousands of people in the twin cities stranded, necessitating the launch of the much-needed bus service in the capital 
    ",03/01/2012,__label__2 
Intra-Kashmir traders` strike continues,"MUZAFFARABAD, Jan 2: Intra-Kashmir traders staged a rally amid their token hunger strike which entered third consecutive day here on Monday against the alleged bullying and intimidation by Pakistan Customs. 
    ",03/01/2012,__label__2 
NHMP vacancies,"ISLAMABAD, Jan 2: Communication Minister Dr Arbab Alamgir Khan on Monday pledged to fill in 1,053 posts lying vacant in the National Highways and Motorway Police (NHMP). 
    ",03/01/2012,__label__2 
"PP-18, Attock-IV Nomination papers rejected","ATTOCK, Jan 2: Nomination papers of Pakistan Peoples Party (PPP) candidate Malik Mohammad Sameen Khan were rejected by the Returning Officer (RO) during scrutiny, it has been learnt 
    ",03/01/2012,__label__2 
"Talks between govt, CNG dealers fail","ISLAMABAD, Jan 2: Talks between the Secretary petroleum, and the CNG Association on Monday failed to bring the strike by the dealers and the transporters to an end 
    ",03/01/2012,__label__2 
Van driver pays for others` fault,"ISLAMABAD: Police constable, Fasihullah, who was driving the van, which hit and injured Shahzad Town SHO, was taken into custody, police said 
    ",03/01/2012,__label__1 
Local JUI-F leader shot dead in Lakki,"LAKKI MARWAT, Jan 2: A local JUI-F leader and former nazim Haji Mohammad Azeem Khan was killed and his driver was seriously wounded when unidentified gunmen attacked his pickup near Naverkhel on Begukhel 
    ",03/01/2012,__label__1 
JI to move court against hike in gas price,"PESHAWAR, Jan 2: The Jamaat-i-Islami (JI) has decided to move Peshawar High Court against hike in price of natural gas 
    ",03/01/2012,__label__2 
CNG stations` closure in KP Road users left high and dry,"PESHAWAR, Jan 2: Hundreds of thousands of people across Khyber Pakhtunkhwa suffered physically and financially as closure of compressed natural gas (CNG) stations led to shortage of public transport vehicles 
    ",03/01/2012,__label__2 
PA passes bill to promote regional languages,"PESHAWAR, Jan 2: The Khyber Pakhtunkhwa Assemb-ly on Monday passed a bill to set up an authority to promote the province`s regional languages 
    ",03/01/2012,__label__2 
Two labourers killed,"MINGORA, Jan 2: Two labourers were killed as an under-construction building collapsed here on Monday 
    ",03/01/2012,__label__1 
Uthmankhels seek separate agency,"BATKHELA, Jan 2: A jirga of Uthmankhel on Monday demanded of the government to set up a separate agency or division for it where more than one million members of the tribe could live jointly 
    ",03/01/2012,__label__2 
Afghans` free treatment KP health dept fears audit objections,"PESHAWAR, Jan 2: The provincial health department has contacted the chief secretary for consent to free treatment of chronic myeloid leukemia sufferers from Afghanistan at the oncology ward of Peshawar`s 
    ",03/01/2012,__label__2 
Pims staff on strike against new pay scale,"ISLAMABAD, Jan 4: Nearly 4,000 unsuspecting patients at the Pakistan Institute of Medical Sciences (Pims) suffered as the nursing, paramedical and non-medical staff observed a complete strike 
    ",04/01/2012,__label__2 
Man killed in road accident,"TAXILA, Jan 4: A motorcyclist was killed and two others injured in two road incidents in the limits of Hassanabdal and Taxila police stations on Wednesday 
    ",04/01/2012,__label__1 
Minor girl drowns,"RAWALPINDI, Jan 4: A three-year-old girl drowned in a nullah while playing with her friends outside her house in Gulshan colony Tehli Moori here on Wednesday, the girl`s parents said 
    ",04/01/2012,__label__2 
Handing over of record to Mumbai judge allowed,"RAWALPINDI, Jan 4: An anti-terrorism court here on Wednesday allowed transfer of record and court documents related to Mumbai attack case to the presiding officer of the judicial commission in Mumbai 
    ",04/01/2012,__label__2 
REIP fails to achieve its goal: ADB,"ISLAMABAD, Jan 4: The Asian Development Bank (ADB) said the Rawalpindi Environment Improvement Project (REIP) failed to achieve sustainable reduction in environmental degradation and operation of basic 
    ",04/01/2012,__label__2 
Islamabad saw four terror attacks last year,"ISLAMABAD, Jan 4: Capital city saw four terrorist attacks in 2011 in which four persons were killed, including two high profile, and the same number of people injured, according to Security Report 2011 of 
    ",04/01/2012,__label__1 
Ban on rallies in Karachi`s `red zone`,"KARACHI, Jan 3: Due to security concerns, the Sindh government banned on Tuesday rallies and all political activities in the `red zone` of Karachi 
    ",04/01/2012,__label__2 
"ECC decides to purchase 378,000 tons of sugar","ISLAMABAD, Jan 3: With sugar mills reducing their bid price by about Rs17 per kg, the Economic Coordination Committee of the cabinet on Tuesday decided to purchase 378,000 tons of sugar for strategic reserves, but a dispute between Punjab 
    ",04/01/2012,__label__2 
Top Taliban ‘commanders’ at each other’s throats,"Hectic efforts are going on to resolve differences between Hakimullah Mehsud and Wali-ur-Rehman, said sources. 
    ",04/01/2012,__label__2 
Imran says govt has lost mandate to rule,"ISLAMABAD, Jan 3: Pakistan Tehrik-i-Insaf chairman Imran Khan said on Tuesday his party would decide whether to go for a civil disobedience campaign or use other means to oust the government during its Central Executive Committee meeting 
    ",04/01/2012,__label__2 
No harm in fresh polls: Fazl,"There will be no harm if politicians agreed to the schedule of early general elections following the Constitution, said the JUI-F chief. 
    ",04/01/2012,__label__2 
Police officer gunned down in Quetta,"QUETTA, Jan 5: A police officer was shot dead while a man was killed and two others were injured in a landmine blast in two separate incidents in Balochistan on Thursday 
    ",05/01/2012,__label__1 
BISP seeks $150m loan for poverty project,"ISLAMABAD, Jan 5: The Benazir Income Support Programme (BISP) is seeking about $150 million from the World Bank to set up an effective national safety net and foster human development of the poor in the 
    ",05/01/2012,__label__2 
China renews pledge to support Pakistan,"BEIJING, Jan 5: Chinese Prime Minister Wen Jiabao said on Thursday that being a true and steadfast friend, China would continue to support Pakistan`s efforts to safeguard its sovereignty, independence and 
    ",05/01/2012,__label__2 
PAF grounds ageing trainer aircraft,"ISLAMABAD, Jan 5: After serving the Pakistan Air Force for over 36 years, the fleet of the two-seat fighter trainer aircraft, FT-5, stood retired on Thursday and replaced by advanced jet trainer K-8P 
    ",05/01/2012,__label__2 
Financial crunch forces Irsa to seek grant,"ISLAMABAD, Jan 5: Like several other public sector organisations, the Indus River System Authority (Irsa) which is responsible for distributing water among the provinces is also facing a severe financial 
    ",05/01/2012,__label__2 
Rs9bn given to rain-hit people,"KARACHI, Jan 5: The National Database and Registration Authority (Nadra) has so far disbursed over Rs9 billion through 1,100,216 Pakistan Cards among rain-affected families in Sindh. This was stated by Chairman 
    ",05/01/2012,__label__2 
PM continues efforts to rally support,"ISLAMABAD, Jan 5: Prime Minister Yousuf Raza Gilani is continuing with his efforts to rally support of coalition partners for the beleaguered Pakistan People’s Party-led government which is facing a number of 
    ",05/01/2012,__label__2 
Medical staff strike spreads to other capital hospitals,"ISLAMABAD, Jan 5: The strike of the medical and non-medical staff against new health pay scales initiated from Pakistan Institute of Medical Sciences (Pims) extended to other public hospitals of the federal capital on Thursday 
    ",05/01/2012,__label__2 
Couple held on charge of killing servant,"ISLAMABAD, Jan 5: An eleven-year-old boy working as a domestic servant was found dead in the house of his employers under mysterious circumstances here on Thursday, police said 
    ",05/01/2012,__label__1 
Three shot dead in family feud,"RAWALPINDI, Jan 5: Three persons, including a father and his son, were shot dead in a family feud outside their home near Punjab House here on Thursday, police said 
    ",05/01/2012,__label__1 
"India, Pakistan need peace but old narratives won`t do","ISLAMABAD, Jan 5: Indian Lok Sabha member Dr Shashi Tharoor had a hard time convincing an audience here on Thursday that “India is genuinely committed to peaceful relations with Pakistan” 
    ",05/01/2012,__label__2 
Eunuchs as voters: SC seeks record of registration,"ISLAMABAD, Jan 5: The Supreme Court on Thursday asked the authorities concerned to provide record of issuance of computerised national identity cards to eunuchs and their enrolment in the voters list 
    ",05/01/2012,__label__2 
No hope of recovering girl,"RAWALPINDI, Jan 5: The family of three-year-old girl suspected to be drowned in nullah had lost hopes of finding her alive as the search operation was suspended on Thursday 
    ",05/01/2012,__label__2 
Confiscated properties in BoP scam to be auctioned,"ISLAMABAD, Jan 5: Bank of Punjab (BoP) will soon auction confiscated property worth millions of rupees including jewellery and diamond watches of Shaikh Afzal, the main character in Rs8.4 billion scam 
    ",05/01/2012,__label__2 
Lawmakers oppose KP`s division on linguistic lines,"PESHAWAR, Jan 5: The lawmakers from both treasury and opposition benches in Khyber Pakhtunkhwa Assembly here on Thursday showed sagacity over the politically divisive issue of Hazara province 
    ",05/01/2012,__label__2 
Upper parts of Hazara in grip of cold,"MANSEHRA, Jan 5: The upper parts of Hazara are in the grip of severe cold due to continuous rain and snowfall in the division 
    ",05/01/2012,__label__2 
Fata admin asked to curb abductions,"PESHAWAR, Jan 5: Khyber Pakhtunkhwa Governor Barrister Masood Kausar has directed political agents of all tribal agencies to effectively control kidnapping incidents to improve investment environment in Federally Administered Tribal Areas 
    ",05/01/2012,__label__1 
Blockade of oilfield ended in Kohat,"KOHAT, Jan 5: Scores of people ended blockade of Shakardarra oil fields here on Thursday after Sui Northern Gas Pipelines Limited (SNGPL) began work on the pipeline for gas supply to the areas within five-kilometre radius of the town 
    ",05/01/2012,__label__2 
Bureaucracy reshuffled in GB,"GILGIT, Jan 5: The Gilgit-Baltistan government on Thursday reshuffled top officials of the administration and police departments to bring improvement in governance 
    ",05/01/2012,__label__2 
Former peace body head killed in Tank,"TANK, Jan 5: The former commander of a local peace committee was killed allegedly by Taliban militants on late Wednesday night, police said 
    ",05/01/2012,__label__1 
Chitrali youth invents avalanche warning device,"The machine works on the principle of resonance and it can preempt movement of an avalanche within a radius of one kilometre: inventor 
    ",05/01/2012,__label__2 
Only 72 paisa per kg reduction in CNG prices,"ISLAMABAD, Jan 4: After the agreement between CNG association and the government, the Oil and Gas Regulatory Authority (Ogra) issued new rates for compressed natural gas, showing less than a rupee per kg 
    ",05/01/2012,__label__2 
Resignation of six MNAs accepted,"ISLAMABAD, Jan 4: Before leaving for an official visit to the Caribbean on Wednesday, National Assembly Speaker Dr Fehmida Mirza accepted the resignations of six MNAs who have joined the Pakistan Tehrik 
    ",05/01/2012,__label__2 
Parliament`s approval to be sought for implementation: FM,"ISLAMABAD, Jan 4: Foreign Minister Hina Rabbani Khar has said that recommendations of the Parliamentary Committee on National Security (PCNS), currently reviewing the Pakistan-US relationship, 
    ",05/01/2012,__label__2 
"Poor immunisation blamed on migrations, security","PESHAWAR, Jan 4: The provincial health department will tomorrow (Friday) apprise the government and international donors of the challenges facing immunisation programme in the province, especially 
    ",05/01/2012,__label__2 
SCCI opposes Punjab`s gas demand,"PESHAWAR, Jan 4: The Sarhad Chamber of Commerce and Industry has demanded that distribution of gas to Khyber Pakhtunkhwa`s consumers should be made in line with a Peshawar High Court decision. 
    ",05/01/2012,__label__2 
"Peshawar rickshaw drivers end strike, promise to follow law","PESHAWAR, Jan 4: Auto-rickshaw drivers of the provincial capital on Wednesday ended their strike against the new traffic plan and said they would follow the law to help organise vehicular traffic 
    ",05/01/2012,__label__2 
DSP gunned down in Gilgit,"GILGIT, Jan 4: Unknown attackers gunned down deputy superintendent of police (investigation) Mohammad Ibrahim here on Wednesday. “DSP Mohammad Ibrahim, who was brought here with bullet 
    ",05/01/2012,__label__1 
Bara clash leaves seven dead,"LANDI KOTAL, Jan 4: Renewed clashes between a banned militant organisation and a tribal lashkar left seven persons dead and one injured in Bazaar-Zakhakhel area of Khyber Agency on Wednesday 
    ",05/01/2012,__label__1 
MQM`s call for provinces termed political gimmick,"PESHAWAR, Jan 4: President Awami National Party (ANP) Khyber Pakhtunkhwa Senator Afrasayab Khan Khattak on Wednesday declared the demand of Muttahida Qaumi Movement (MQM) for creation of new 
    ",05/01/2012,__label__2 
Centre spending Rs81b on road projects in KP,"PESHAWAR, Jan 4: The federal government is spending Rs81 billion on the construction of 11 road projects in Khyber Pakhtunkhwa, said federal minister for communications Arbab Alamgir Khan during a meeting with 
    ",05/01/2012,__label__2 
